proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4,proba_class_5,proba_class_6,proba_class_7,proba_class_8,proba_class_9,proba_class_10,proba_class_11,target
0.000415,0.294313,0.493981,0.127439,0.082607,0.001245,0.012471,0.219414,0.644759,0.09336,0.028986,0.001011,1
0.000398,0.280143,0.477915,0.131317,0.109829,0.000398,0.036577,0.272698,0.584259,0.079686,0.02678,0.0,1
0.000722,0.183622,0.462121,0.155123,0.197691,0.000722,0.06067,0.291277,0.549653,0.069423,0.028071,0.000906,1
0.000363,0.159536,0.508339,0.138506,0.190718,0.002538,0.048037,0.304628,0.527827,0.091095,0.027241,0.001172,1
0.000392,0.27708,0.482339,0.121664,0.117739,0.000785,0.047588,0.303658,0.563289,0.059566,0.025251,0.000647,1
0.001472,0.181751,0.513981,0.157469,0.14312,0.002208,0.038575,0.311543,0.523557,0.098645,0.027385,0.000294,1
0.001859,0.18743,0.467832,0.177761,0.16363,0.001488,0.064387,0.299754,0.540049,0.069932,0.025262,0.000616,1
0.00036,0.17224,0.488314,0.142754,0.194894,0.001438,0.051078,0.302332,0.552406,0.06584,0.027163,0.001181,1
0.001154,0.262308,0.480769,0.132692,0.122308,0.000769,0.059753,0.298451,0.561808,0.05596,0.021499,0.002529,1
0.000739,0.153789,0.539002,0.178558,0.127911,0.0,0.032625,0.280156,0.553726,0.098773,0.033523,0.001197,1
0.002149,0.169054,0.465974,0.159384,0.202364,0.001074,0.057692,0.283053,0.558293,0.072416,0.028546,0.0,1
0.000369,0.167282,0.524372,0.166913,0.140694,0.000369,0.035999,0.289466,0.552375,0.087046,0.034228,0.000885,1
0.001811,0.180007,0.462151,0.157552,0.198117,0.000362,0.061669,0.304716,0.537787,0.069528,0.024788,0.001511,1
0.000714,0.173386,0.460935,0.15305,0.210846,0.00107,0.044984,0.282036,0.57739,0.068659,0.025747,0.001184,1
0.000362,0.169982,0.495841,0.135624,0.196383,0.001808,0.046082,0.301732,0.54887,0.0769,0.025829,0.000587,1
0.001073,0.172809,0.474419,0.146333,0.204293,0.001073,0.049793,0.295791,0.560759,0.067872,0.025489,0.000296,1
0.001109,0.152367,0.549556,0.175666,0.120562,0.00074,0.036188,0.274427,0.541013,0.10766,0.038902,0.001809,1
0.001427,0.173324,0.465763,0.156205,0.202568,0.000713,0.055869,0.282615,0.558395,0.077563,0.025557,0.0,1
0.002335,0.271206,0.48677,0.115175,0.124514,0.0,0.053812,0.314222,0.548046,0.061819,0.020179,0.001922,1
0.000714,0.172081,0.462335,0.15673,0.207069,0.001071,0.053361,0.274175,0.565153,0.081368,0.025649,0.000295,1
0.000409,0.300736,0.477087,0.125614,0.095336,0.000818,0.023604,0.239362,0.62367,0.084109,0.029255,0.0,1
0.001831,0.18528,0.455145,0.171366,0.185646,0.000732,0.060355,0.311275,0.54136,0.063725,0.021446,0.001838,1
0.002184,0.188205,0.456862,0.160175,0.191118,0.001456,0.064614,0.309357,0.537946,0.0637,0.024078,0.000305,1
0.004603,0.091439,0.272783,0.356551,0.27401,0.000614,0.000344,0.037139,0.20392,0.339409,0.418157,0.001032,1
0.002597,0.085065,0.344805,0.333442,0.233442,0.000649,0.003362,0.055286,0.247665,0.331715,0.360852,0.001121,1
0.00331,0.072162,0.359484,0.349884,0.214167,0.000993,0.002298,0.056683,0.295672,0.31712,0.327844,0.000383,1
0.005934,0.097127,0.291068,0.350718,0.253592,0.001562,0.0,0.03196,0.270241,0.332741,0.363281,0.001776,1
0.004673,0.090654,0.275078,0.352336,0.276636,0.000623,0.000705,0.029598,0.260747,0.344609,0.363636,0.000705,1
0.003611,0.072554,0.338477,0.362771,0.222259,0.000328,0.001512,0.05291,0.26644,0.312169,0.366591,0.000378,1
0.000344,0.033333,0.353265,0.382474,0.230241,0.000344,0.001197,0.040287,0.344635,0.322298,0.290387,0.001197,1
0.00034,0.040747,0.370798,0.364686,0.22275,0.000679,0.000787,0.043273,0.345791,0.306452,0.303304,0.000393,1
0.004155,0.105785,0.286673,0.370406,0.232982,0.0,0.002558,0.042032,0.238304,0.335892,0.381213,0.0,1
0.005145,0.092605,0.310611,0.35209,0.23955,0.0,0.002953,0.050941,0.23588,0.325212,0.384644,0.000369,1
0.002677,0.054552,0.366466,0.354418,0.220884,0.001004,0.0,0.043495,0.289709,0.328544,0.338252,0.0,1
0.005581,0.093333,0.283101,0.334574,0.282481,0.00093,0.00105,0.037439,0.257873,0.348146,0.354444,0.00105,1
0.003085,0.083925,0.253008,0.354829,0.303919,0.001234,0.000693,0.033945,0.223762,0.347766,0.393142,0.000693,1
0.002155,0.090517,0.263547,0.366995,0.275862,0.000924,0.00069,0.038302,0.214631,0.325397,0.4196,0.00138,1
0.004713,0.105247,0.299403,0.346214,0.244109,0.000314,0.000357,0.027133,0.257051,0.338451,0.376294,0.000714,1
0.003816,0.103021,0.312242,0.340223,0.240064,0.000636,0.00181,0.03874,0.253077,0.317161,0.388125,0.001086,1
0.002165,0.082895,0.247758,0.346118,0.320136,0.000928,0.001044,0.031326,0.213714,0.344588,0.408632,0.000696,1
0.004601,0.095399,0.288344,0.363804,0.246933,0.00092,0.001716,0.041538,0.220391,0.333333,0.402334,0.000687,1
0.004744,0.111954,0.283365,0.348514,0.250474,0.000949,0.001439,0.032734,0.260791,0.328417,0.376619,0.0,1
0.0,0.02887,0.34713,0.390957,0.233043,0.0,0.001214,0.028329,0.335492,0.335896,0.297855,0.001214,1
0.000685,0.039712,0.213968,0.272509,0.472099,0.001027,0.002945,0.046698,0.237274,0.339083,0.372739,0.001262,1
0.002959,0.068047,0.226496,0.276463,0.424063,0.001972,0.004062,0.054833,0.227457,0.325345,0.387896,0.000406,1
0.003585,0.059322,0.214798,0.286832,0.434485,0.000978,0.006808,0.069684,0.245495,0.319984,0.355627,0.002403,1
0.000998,0.048902,0.196939,0.279441,0.471723,0.001996,0.002046,0.040507,0.200082,0.336334,0.418576,0.002455,1
0.002145,0.03754,0.224884,0.274222,0.460851,0.000358,0.003863,0.050215,0.264807,0.370386,0.3103,0.000429,1
0.001983,0.063781,0.204891,0.271976,0.453404,0.003966,0.003263,0.047716,0.227569,0.332382,0.388254,0.000816,1
0.00035,0.030834,0.218991,0.269446,0.479678,0.000701,0.0017,0.044624,0.243519,0.360816,0.348916,0.000425,1
0.000354,0.037155,0.228592,0.268224,0.463199,0.002477,0.002986,0.045222,0.270478,0.357509,0.323379,0.000427,1
0.003012,0.049531,0.232932,0.269411,0.442436,0.002677,0.003702,0.043603,0.23406,0.340601,0.376388,0.001645,1
0.003258,0.06419,0.216357,0.282177,0.430759,0.003258,0.008464,0.062878,0.247481,0.32366,0.355099,0.002418,1
0.001357,0.034611,0.220224,0.283,0.459111,0.001697,0.003343,0.038863,0.224405,0.340995,0.390723,0.001672,1
0.003268,0.066667,0.20915,0.280065,0.439542,0.001307,0.004854,0.059061,0.244741,0.322816,0.367718,0.000809,1
0.001039,0.033587,0.229224,0.257618,0.478186,0.000346,0.001688,0.044745,0.257493,0.346982,0.34656,0.002533,1
0.002602,0.060813,0.205854,0.292358,0.436098,0.002276,0.006838,0.063154,0.233709,0.326227,0.367659,0.002414,1
0.00135,0.035787,0.213032,0.274477,0.472991,0.002363,0.004551,0.043856,0.215556,0.332644,0.401324,0.002069,1
0.001968,0.058052,0.224336,0.295507,0.418498,0.00164,0.003215,0.067524,0.252412,0.305868,0.369775,0.001206,1
0.002332,0.0493,0.266822,0.303797,0.375083,0.002665,0.005291,0.066748,0.252747,0.320716,0.351648,0.002849,1
0.001978,0.049456,0.260468,0.297066,0.389383,0.001649,0.004852,0.071169,0.237364,0.298423,0.384958,0.003235,1
0.002614,0.054902,0.213399,0.289869,0.436601,0.002614,0.007618,0.062149,0.262229,0.31235,0.35405,0.001604,1
0.018389,0.187099,0.350555,0.272037,0.170753,0.001168,0.0178,0.160199,0.321823,0.262371,0.236383,0.001424,1
